# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TNH      = Uurvak waarin TN is gemeten; 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# TXH      = Uurvak waarin TX is gemeten; 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# T10NH    = 6-uurs tijdvak waarin T10N is gemeten; 6=0-6 UT, 12=6-12 UT, 18=12-18 UT, 24=18-24 UT
# 
# STN,YYYYMMDD,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH
  380,20190101,   62,   42,   24,   77,    1,   38,   24
  380,20190102,   32,    0,   24,   59,   13,  -20,   24
  380,20190103,   32,    8,    1,   51,   13,    0,    6
  380,20190104,   25,   10,    5,   40,   12,    1,    6
  380,20190105,   51,   29,    1,   59,    8,   29,    6
  380,20190106,   43,   32,   23,   52,   13,   28,   24
  380,20190107,   52,   15,    6,   81,   24,    8,    6
  380,20190108,   58,   39,   24,   85,    1,   32,   24
  380,20190109,   34,   15,   24,   61,   15,   12,    6
  380,20190110,   11,    0,    8,   25,   14,   -7,   24
  380,20190111,   40,    7,    1,   67,   16,    7,    6
  380,20190112,   61,   49,    6,   72,   17,   47,    6
  380,20190113,   78,   65,    2,   89,   19,   56,   24
  380,20190114,   46,   21,   23,   68,    1,    2,   24
  380,20190115,   52,   25,    1,   69,   12,   19,    6
  380,20190116,   53,   42,   24,   61,    5,   42,   24
  380,20190117,   31,    0,   22,   53,    4,   -1,   24
  380,20190118,    2,  -14,   24,   22,   16,  -25,   24
  380,20190119,   -5,  -33,   24,   36,   13,  -56,   24
  380,20190120,  -28,  -62,    7,   10,   14,  -84,   24
  380,20190121,  -35,  -75,    6,   16,   14,  -91,    6
  380,20190122,  -27,  -62,    4,   -9,   13,  -75,    6
  380,20190123,  -26,  -52,    8,   -7,   14,  -66,   12
  380,20190124,  -24,  -35,    6,   -7,   24,  -37,   12
  380,20190125,    9,  -11,    9,   33,   24,  -10,   12
  380,20190126,   56,   33,    1,   67,   13,   31,    6
  380,20190127,   48,   22,   22,   66,    6,   22,   24
  380,20190128,   23,    9,   21,   53,   15,    2,   24
  380,20190129,   14,   -4,   24,   44,   13,  -11,   24
  380,20190130,   -3,  -18,   23,    9,   19,  -23,   24
  380,20190131,  -25,  -51,    7,   -8,   16,  -64,   12
  380,20190201,   21,  -10,    1,   66,   14,  -21,   24
  380,20190202,   11,    2,   15,   20,    7,    1,    6
  380,20190203,   19,  -11,   23,   56,   13,  -26,   24
  380,20190204,   21,  -10,    4,   45,   12,  -15,    6
  380,20190205,   30,    8,   23,   53,   15,  -20,   24
  380,20190206,   55,    8,    1,   91,   14,   -7,    6
  380,20190207,   73,   48,   24,   99,   13,   42,   24
  380,20190208,   76,   46,    1,   92,   15,   42,    6
  380,20190209,   81,   72,    2,  103,   13,   66,    6
  380,20190210,   67,   31,   24,   93,    7,   31,   24
  380,20190211,   39,    5,   24,   72,   12,  -19,   24
  380,20190212,   27,  -15,    2,   76,   15,  -26,    6
  380,20190213,   32,    0,    8,   75,   14,  -16,   24
  380,20190214,   63,  -18,    4,  154,   14,  -49,    6
  380,20190215,   88,   11,    7,  170,   14,  -31,   12
  380,20190216,   84,   35,    8,  150,   15,   -7,   24
  380,20190217,  102,   35,    6,  181,   15,  -17,   12
  380,20190218,   95,   45,    7,  162,   14,   31,   12
  380,20190219,   75,   32,   24,  113,   14,   20,   24
  380,20190220,   70,   29,    1,  114,   15,   16,    6
  380,20190221,   94,   39,    3,  129,   14,   22,    6
  380,20190222,   86,   54,   24,  113,   16,   31,   24
  380,20190223,   66,   24,    7,  120,   14,   -7,   24
  380,20190224,   74,   -2,    6,  150,   14,  -28,    6
